mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,flux_mean,contrast_b1,contrast_b2,contrast_b3,contrast_b4,contrast_b5,contrast_b6,contrast_b7,onset_mean,onset_std,onset_max,onset_sum,attack_time,attack_slope,hpi_ratio,label,filename
-375.80786,40.31841,2.2223155,25.521338,17.871218,14.569949,6.145129,8.773415,7.858817,10.529112,5.0524983,5.175157,0.49075815,5.3066535,4.3820333,5.382694,2.4673538,3.1571116,0.26124415,3.81262,0.05165053040449855,0.06950396544962273,0.011753216911764706,1188.156652924971,1933.2562021484277,2498.358226102941,0.006717596,0.016887126,18.68591256620093,9.449396943062172,10.472470480519158,13.722253932129458,11.749206786493016,14.746379816493569,42.41257944481735,0.33711687,0.52583164,3.0227575,28.654934,0.26702947845804986,22.3503171466291,0.7056110056625065,Kick,053.vubeatz - Kick-19.wav
-399.8429,105.14559,5.199309,10.956247,24.178602,15.623933,7.5701346,11.298717,8.76097,10.446151,5.7490644,7.482995,5.289538,8.178816,3.9928622,5.8411236,2.623777,6.135991,2.8945727,4.958756,0.0967179996243837,0.0907405512154469,0.005137567934782609,273.52379597233187,703.3470017912535,435.8133067255435,0.000114747585,0.021938358,21.06284503348882,7.921230549218633,10.428149506536773,12.440305486772337,17.7865094023653,15.804389375962943,33.5250894871279,0.2106292,0.19005296,0.68042505,9.688943,0.18575963718820862,101.44869997166097,1.952945601232985,Kick,061.vubeatz - Kick-27.wav
-442.54538,101.096,42.732346,34.081097,21.17223,19.151922,13.419593,12.518649,8.550889,11.492721,6.6710496,9.028119,4.254358,5.0400863,3.246241,5.407088,2.7969813,4.9324226,1.6687021,3.1767762,0.2342290658768329,0.17978478249301605,0.007092927631578948,97.79393086950492,277.02469344473747,141.09914679276315,3.305011e-06,0.090572916,21.683847623498774,11.187327952180251,11.84073209519637,13.59592587171251,13.495841468739824,15.023395236565259,30.396936948191787,0.08740907,0.20180877,1.2197324,3.3215446,0.0,0.0,1.4921140251594673,Kick,Oversampled_SH2_kick_trap_heat.wav
-517.2624,59.168682,37.6394,28.265085,18.350937,15.63105,10.798821,11.485106,8.637713,10.242297,7.047711,7.847162,5.198977,6.797493,2.9084072,3.6877072,0.4135616,3.0637786,0.78576165,2.1278906,0.05992410082325,0.0965278267766676,0.015218098958333334,1286.7992043677395,1833.536496053559,3520.9030151367188,0.0021052964,0.019418025,18.026338224228187,15.703941697745938,12.982911803415334,14.373635487369505,12.879588141703124,13.234226646809255,36.00191875296403,0.031549904,0.10011452,0.9120672,3.028791,0.0,0.0,1.699616228513146,Kick,WLUB2 Kick 12.wav
-386.0696,169.83057,26.74274,34.93487,16.483923,17.485287,10.294847,10.084108,5.280774,6.4663696,2.3988783,5.21103,2.6522462,5.6562963,2.5814526,5.518521,2.8226154,4.1867332,0.06543944,1.7012236,0.6889015552693567,0.44394046576932894,0.006582754629629629,110.09199392051333,144.67350080807086,159.50520833333334,1.3732927e-07,0.24779984,15.283011349369998,10.445020179424565,16.283200902206854,17.176069066732,16.865945814772008,17.288669539309574,23.650770034094975,0.08398593,0.17224467,0.90150917,2.26762,0.0,0.0,0.8473626806120822,Kick,M - SATYR KICK.wav
-481.947,27.63505,18.744131,21.09921,13.907453,18.779104,11.026065,15.160801,8.848141,12.373971,6.532676,8.951222,4.7865486,6.363998,2.6152043,5.526993,2.0055745,3.1811457,1.4357877,2.7538967,0.05230070796071333,0.09528695328925016,0.020809220679012346,1592.348448157267,2440.566972412728,4334.819878472223,0.0024771637,0.018627215,20.619965137450983,14.782599787253194,10.086053615227609,11.132247171865938,12.56376935815663,13.599546206586997,41.10432081424048,0.06692878,0.23835097,1.9037683,5.4212313,0.0,0.0,70.06600020492692,Kick,WLUB2 Kick 06.wav
-431.20816,53.449932,36.697258,26.189184,24.445433,19.416832,18.439617,15.628377,11.750386,9.16484,5.863414,7.8906317,6.678822,8.031146,5.777005,6.4554625,1.0676645,2.4679477,1.090794,3.4813888,0.07253119792391312,0.0731388394301283,0.012446732954545455,360.1153048499357,1024.5529466053295,518.7544389204545,0.0009819288,0.00897306,23.905307664116894,10.966489221035228,13.438974789891786,13.288374938132547,13.112847605005276,13.509040328444902,36.66942844488544,0.027448418,0.03406014,0.16110301,1.509663,0.0,0.0,0.4262154496340676,Kick,A_BD1.WAV
-474.9483,34.545208,0.6772799,20.719532,7.1307464,13.4450655,6.2520456,7.989994,4.1444154,5.166011,0.43709475,1.8151855,-0.49308842,-0.18982315,-0.043302786,2.3833635,0.4476835,1.6646503,-0.5820067,0.6915468,0.029185485097374647,0.06161521891933175,0.05929276315789474,1551.5399256424862,1755.2583148509855,3287.326788651316,0.2912854,0.02360981,8.80317139057881,10.214219583716549,10.726931043103793,10.960469458112541,11.194691657731749,13.166883281216066,34.36178135238061,0.25398606,0.6259527,5.3592973,24.128675,0.0,0.0,116.41176093936427,Kick,BD_POW.WAV
-433.8232,65.01944,24.785328,23.17208,14.783264,17.363003,13.551369,14.921013,10.067117,12.144395,7.7214565,8.948928,5.564036,7.889969,4.5993094,7.0893617,3.1727846,4.1306777,2.19198,6.3175135,0.058316269197819404,0.08051288396585662,0.0038851122835497835,164.16182516697936,754.2189702695305,113.53870738636364,7.2189646e-06,0.020723948,23.839854731140345,10.168659597291668,12.318788008617219,14.099567164393653,13.742043760683506,14.660384848105108,37.85931296565344,0.12355291,0.21497092,1.0692023,28.540722,0.1219047619047619,68.80958452820778,0.22020177624710544,Kick,CPC26BD.WAV
-309.47797,26.97748,17.974419,13.397712,1.4919343,29.17645,11.070059,16.112726,2.094299,11.019627,2.9187312,6.666976,1.1051663,7.925942,3.7776196,5.3120646,3.0252357,1.9005204,-2.79847,-0.55891144,0.047240805786663904,0.07405231687798784,0.0458344006147541,2256.8727618163803,2977.3127892873795,6316.28858222336,0.004957084,0.031042226,15.516875689065381,12.622946207212493,10.525355039704543,13.002245963095909,13.893693930329025,15.621419525895645,53.12416269295531,0.35823685,0.40922502,2.860831,21.852448,0.0,0.0,3.7124767402108456,Kick,G_KICK.WAV
